volume,vw,open,close,high,low,timestamp,n
3614100.0,472.65,473.14,472.35,473.18,472.2925,2023-12-14 15:00:00,37935
5233916.0,472.0441,472.34,472.28,472.6,471.78,2023-12-14 15:15:00,39680
2867307.0,472.1754,472.29,472.03,472.66,471.67,2023-12-14 15:30:00,25337
2423420.0,472.2913,472.035,472.5899,472.81,471.745,2023-12-14 15:45:00,21973
2308914.0,472.2632,472.585,471.59,472.68,471.545,2023-12-14 16:00:00,22879
2466283.0,471.6629,471.6,471.93,472.01,471.46,2023-12-14 16:15:00,20115
2399497.0,471.9987,471.95,472.36,472.39,471.54,2023-12-14 16:30:00,19474
1984611.0,472.4452,472.355,472.54,472.67,472.25,2023-12-14 16:45:00,14972
3317351.0,472.1935,472.54,473.16,473.2,472.475,2023-12-14 17:00:00,20145
1786919.0,473.0617,473.165,473.26,473.28,472.8,2023-12-14 17:15:00,15817
2291318.0,472.6047,473.26,473.265,473.36,472.9836,2023-12-14 17:30:00,16451
2635507.0,472.6471,473.26,471.9901,473.365,471.9513,2023-12-14 17:45:00,22510
4429169.0,471.3565,472.0,471.36,472.01,471.2,2023-12-14 18:00:00,30351
3413971.0,471.0017,471.36,470.845,471.37,470.82,2023-12-14 18:15:00,22764
2951932.0,470.8373,470.845,470.76,471.06,470.69,2023-12-14 18:30:00,21747
3684978.0,470.0123,470.75,470.18,470.84,469.25,2023-12-14 18:45:00,32359
3867031.0,470.5783,470.18,470.705,472.1288,470.15,2023-12-14 19:00:00,21566
3106578.0,470.9402,470.69,471.1901,471.255,470.64,2023-12-14 19:15:00,16748
2474563.0,470.9837,471.1913,471.2,471.365,470.935,2023-12-14 19:30:00,17128
2446944.0,471.2191,471.2,471.52,471.57,471.17,2023-12-14 19:45:00,17714
3032469.0,471.4243,471.52,471.45,471.73,471.31,2023-12-14 20:00:00,24479
3325944.0,471.5279,471.45,471.47,471.73,471.31,2023-12-14 20:15:00,24360
3207186.0,471.3576,471.47,471.23,471.645,471.15,2023-12-14 20:30:00,27236
12036667.0,471.4215,471.23,472.0,472.06,471.09,2023-12-14 20:45:00,62792
16632983.0,471.6036,472.02,471.52,472.11,470.7201,2023-12-14 21:00:00,5568
7119098.0,469.3007,469.49,469.51,469.74,468.81,2023-12-15 14:30:00,50216
3007340.0,469.4127,469.51,469.15,469.82,469.0515,2023-12-15 14:45:00,29310
2282721.0,469.422,469.16,469.705,469.8,469.12,2023-12-15 15:00:00,23738
6199532.0,468.3178,469.7,470.06,470.22,469.42,2023-12-15 15:15:00,21703
2098133.0,470.1225,470.07,469.8799,470.305,469.8485,2023-12-15 15:30:00,18799
18992771.0,467.7351,469.86,470.32,470.54,469.83,2023-12-15 15:45:00,20272
2046823.0,469.9351,470.32,470.125,470.52,469.75,2023-12-15 16:00:00,17973
2015708.0,469.4877,470.13,470.33,470.42,469.86,2023-12-15 16:15:00,14953
2155807.0,470.1619,470.33,470.07,470.5,469.94,2023-12-15 16:30:00,16587
1768289.0,469.9726,470.07,470.0799,470.135,469.825,2023-12-15 16:45:00,14215
4055179.0,469.9474,470.08,470.095,470.24,469.79,2023-12-15 17:00:00,14505
2799224.0,470.1969,470.09,470.3,470.405,469.935,2023-12-15 17:15:00,13295
1727430.0,469.9946,470.31,469.87,470.34,469.785,2023-12-15 17:30:00,13994
3508429.0,469.7066,469.86,469.355,469.92,469.27,2023-12-15 17:45:00,21013
2289071.0,469.4984,469.35,469.5101,469.675,469.27,2023-12-15 18:00:00,16558
1852519.0,469.6345,469.5,469.79,469.8,469.32,2023-12-15 18:15:00,14932
3296183.0,469.3998,469.79,468.67,469.95,468.58,2023-12-15 18:30:00,25741
3908506.0,469.0895,468.66,468.68,469.15,468.44,2023-12-15 18:45:00,26905
2902956.0,468.9065,468.68,468.79,468.91,468.465,2023-12-15 19:00:00,21731
2629336.0,469.0796,468.79,468.49,469.16,468.4791,2023-12-15 19:15:00,20669
2271703.0,469.1213,468.49,469.21,469.29,468.48,2023-12-15 19:30:00,19073
2819349.0,469.1819,469.2,468.99,469.27,468.64,2023-12-15 19:45:00,18918
2856838.0,469.3021,468.99,469.025,469.27,468.83,2023-12-15 20:00:00,19440
3029390.0,469.3871,469.025,469.405,469.56,468.96,2023-12-15 20:15:00,22092
3749833.0,469.2818,469.405,469.085,469.54,468.94,2023-12-15 20:30:00,29366
21581237.0,469.999,469.09,469.37,470.7,469.04,2023-12-15 20:45:00,108756
19094755.0,469.8244,469.39,469.81,470.5382,469.32,2023-12-15 21:00:00,7719
3569399.0,471.1714,470.98,471.2,471.43,470.8,2023-12-18 14:30:00,35769
1819245.0,471.2203,471.21,471.37,471.41,471.04,2023-12-18 14:45:00,19372
2291994.0,471.6199,471.375,471.44,471.83,471.34,2023-12-18 15:00:00,35019
2212545.0,471.6397,471.45,471.79,471.88,471.37,2023-12-18 15:15:00,21487
2066667.0,471.5486,471.8,471.44,471.86,471.40,2023-12-18 15:30:00,17879
1900644.0,471.0782,471.44,471.27,471.47,471.08,2023-12-18 15:45:00,16944
1925362.0,471.1689,471.27,471.64,471.688,471.105,2023-12-18 16:00:00,14766
