volume,vw,open,close,high,low,timestamp,n,timestamp.1,EMA_13,EMA_48,EMA_200
484.0,509.1995,509.19,509.19,509.19,509.19,1709719440000,19.0,2024-03-06 05:04:00-05:00,509.0814149646859,508.5127156080256,507.826846702011
1252.0,509.1866,509.18,509.18,509.18,509.18,1709719560000,24.0,2024-03-06 05:06:00-05:00,509.0954985411594,508.5399517056573,507.8403109139313
1601.0,509.2032,509.21,509.2,509.21,509.2,1709719800000,26.0,2024-03-06 05:10:00-05:00,509.1104273209938,508.5668924523651,507.85384015856886
27734.0,509.1069,509.15,509.2,509.2,509.1,1709719920000,80.0,2024-03-06 05:12:00-05:00,509.12322341799467,508.5927335767583,507.8672347838568
1016.0,509.1895,509.19,509.19,509.19,509.19,1709720040000,21.0,2024-03-06 05:14:00-05:00,509.13276292970977,508.6171117981151,507.8803966268035
786.0,509.2481,509.26,509.22,509.26,509.22,1709720640000,5.0,2024-03-06 05:24:00-05:00,509.1452253683227,508.6417194798247,507.8937260136015
106.0,509.2986,509.3,509.3,509.3,509.3,1709720760000,4.0,2024-03-06 05:26:00-05:00,509.16733602999096,508.6685880724849,507.9077187895856
515.0,509.2301,509.23,509.23,509.23,509.23,1709721000000,6.0,2024-03-06 05:30:00-05:00,509.1762880257066,508.69150284503655,507.9208758165548
1010.0,509.198,509.18,509.23,509.23,509.18,1709721120000,11.0,2024-03-06 05:32:00-05:00,509.1839611648914,508.7134823207493,507.9339019278329
653.0,509.2983,509.32,509.29,509.32,509.29,1709721240000,7.0,2024-03-06 05:34:00-05:00,509.19910956990697,508.7370136545962,507.9473954409888
404.0,509.1901,509.19,509.19,509.19,509.19,1709721360000,3.0,2024-03-06 05:36:00-05:00,509.1978082027774,508.75550289318414,507.9597596654566
355.0,509.1306,509.13,509.13,509.13,509.13,1709721600000,5.0,2024-03-06 05:40:00-05:00,509.1881213166664,508.7707884893807,507.9714038478899
760.0,509.0941,509.15,509.03,509.15,509.03,1709721720000,27.0,2024-03-06 05:42:00-05:00,509.1655325571426,508.78136855103855,507.9819371429358
626.0,508.9299,508.93,508.93,508.93,508.93,1709721840000,5.0,2024-03-06 05:44:00-05:00,509.1318850489794,508.78743514079207,507.99137060420014
870.0,509.0653,509.07,509.07,509.07,509.07,1709722200000,19.0,2024-03-06 05:50:00-05:00,509.1230443276967,508.7989684003516,508.00210323500414
1423.0,509.0612,509.1,509.0,509.1,509.0,1709722320000,43.0,2024-03-06 05:52:00-05:00,509.1054665665972,508.80717377176575,508.01203255604895
970.0,508.9977,509.0,509.0,509.0,509.0,1709722440000,24.0,2024-03-06 05:54:00-05:00,509.0903999142262,508.815044230061,508.02186307787935
441.0,508.8682,508.87,508.87,508.87,508.87,1709722560000,19.0,2024-03-06 05:56:00-05:00,509.05891421219394,508.81728732271154,508.0303022512338
709.0,508.8414,508.84,508.85,508.85,508.84,1709722680000,23.0,2024-03-06 05:58:00-05:00,509.0290693247377,508.81862253402943,508.03845844773895
883.0,508.8518,508.85,508.88,508.88,508.85,1709722800000,43.0,2024-03-06 06:00:00-05:00,509.0077737069181,508.8211277367221,508.04683199552267
1054.0,508.9403,508.92,508.95,508.95,508.92,1709723040000,29.0,2024-03-06 06:04:00-05:00,508.9995203202155,508.8263878291007,508.0558187418359
234.0,508.9993,509.0,509.0,509.0,509.0,1709723280000,6.0,2024-03-06 06:08:00-05:00,508.99958884589904,508.8334740401578,508.0652135802257
