volume,vw,open,close,high,low,timestamp,n,timestamp
5269,524.5183,524.54,524.52,524.56,524.46,1717495560000,35,2024-06-04 06:06:00-04:00
23239,524.3737,524.47,524.45,524.47,524.27,1717495680000,125,2024-06-04 06:08:00-04:00
5711,524.4037,524.39,524.39,524.47,524.38,1717495800000,59,2024-06-04 06:10:00-04:00
1831,524.4574,524.42,524.5,524.54,524.42,1717495920000,11,2024-06-04 06:12:00-04:00
431,524.5406,524.5,524.54,524.54,524.5,1717496040000,5,2024-06-04 06:14:00-04:00
3408,524.9153,524.89,525.05,525.05,524.89,1717496160000,16,2024-06-04 06:16:00-04:00
1695,524.9902,524.98,525.0,525.0,524.98,1717496280000,11,2024-06-04 06:18:00-04:00
6076,524.9546,525.0,524.96,525.0,524.92,1717496400000,23,2024-06-04 06:20:00-04:00
129,524.9316,524.93,524.93,524.93,524.93,1717496520000,4,2024-06-04 06:22:00-04:00
757,525.0828,525.1,525.06,525.1,525.06,1717496640000,21,2024-06-04 06:24:00-04:00
633,525.0185,525.0,525.05,525.05,525.0,1717496760000,14,2024-06-04 06:26:00-04:00
677,525.0109,525.08,524.85,525.08,524.85,1717496880000,10,2024-06-04 06:28:00-04:00
3210,524.8677,524.88,524.86,524.88,524.86,1717497000000,11,2024-06-04 06:30:00-04:00
168,524.9181,524.91,524.91,524.91,524.91,1717497120000,2,2024-06-04 06:32:00-04:00
360,524.9945,525.03,525.0,525.03,524.95,1717497240000,6,2024-06-04 06:34:00-04:00
250,525.024,525.0,525.04,525.04,525.0,1717497600000,2,2024-06-04 06:40:00-04:00
101,524.9509,524.95,524.95,524.95,524.95,1717497720000,2,2024-06-04 06:42:00-04:00
500,525.0,525.0,525.0,525.0,525.0,1717497840000,2,2024-06-04 06:44:00-04:00
988,525.03,525.03,525.03,525.03,525.03,1717498080000,4,2024-06-04 06:48:00-04:00
101,524.9598,524.96,524.96,524.96,524.96,1717498200000,2,2024-06-04 06:50:00-04:00
5041,525.0,525.0,525.0,525.0,525.0,1717498320000,12,2024-06-04 06:52:00-04:00
891,524.8252,524.9,524.84,524.9,524.81,1717498440000,14,2024-06-04 06:54:00-04:00
1066,524.8196,524.8,524.9,524.9,524.78,1717498560000,10,2024-06-04 06:56:00-04:00
537,524.9305,524.91,524.95,524.95,524.91,1717498680000,6,2024-06-04 06:58:00-04:00
6752,525.1895,525.03,525.21,525.24,525.0,1717498800000,67,2024-06-04 07:00:00-04:00
4242,525.22,525.25,525.15,525.25,525.15,1717498920000,36,2024-06-04 07:02:00-04:00
11627,525.276,525.25,525.21,525.29,525.21,1717499040000,63,2024-06-04 07:04:00-04:00
13073,525.267,525.23,525.25,525.299,525.23,1717499160000,51,2024-06-04 07:06:00-04:00
7571,525.2027,525.21,525.16,525.24,525.16,1717499280000,51,2024-06-04 07:08:00-04:00
1001,525.2237,525.27,525.18,525.3,525.18,1717499400000,14,2024-06-04 07:10:00-04:00
